TrakPro Version 4.70 ASCII Data File

Model:,DustTrak II
Model Number:,8530
Serial Number:,8530124209
Test ID:,018
Test Abbreviation:,MANUAL_018
Start Date:,01/24/2017
Start Time:,14:11:56
Duration (dd:hh:mm:ss):,0:00:25:00
Log Interval (mm:ss):,00:01
Number of points:,1555
Notes:,

Statistics,Channel:,AEROSOL
,Units:,mg/m^3
,Average:,0.002
,Minimum:,0.000
,Time of Minimum:,14:11:57
,Date of Minimum:,01/24/2017
,Maximum:,0.017
,Time of Maximum:,14:21:41
,Date of Maximum:,01/24/2017

Calibration,Sensor:,AEROSOL
,Cal. date,10/17/2012

Date,Time,AEROSOL
MM/dd/yyyy,hh:mm:ss,mg/m^3
01/24/2017,14:11:57,0.000
01/24/2017,14:11:58,0.000
01/24/2017,14:11:59,0.000
01/24/2017,14:12:00,0.000
01/24/2017,14:12:01,0.000
01/24/2017,14:12:02,0.000
01/24/2017,14:12:03,0.000
01/24/2017,14:12:04,0.000
01/24/2017,14:12:05,0.000
01/24/2017,14:12:06,0.000
01/24/2017,14:12:07,0.000
01/24/2017,14:12:08,0.000
01/24/2017,14:12:09,0.000
01/24/2017,14:12:10,0.000
01/24/2017,14:12:11,0.000
01/24/2017,14:12:12,0.000
01/24/2017,14:12:13,0.000
01/24/2017,14:12:14,0.000
01/24/2017,14:12:15,0.000
01/24/2017,14:12:16,0.000
01/24/2017,14:12:17,0.000
01/24/2017,14:12:18,0.000
01/24/2017,14:12:19,0.000
01/24/2017,14:12:20,0.000
01/24/2017,14:12:21,0.000
01/24/2017,14:12:22,0.000
01/24/2017,14:12:23,0.000
01/24/2017,14:12:24,0.000
01/24/2017,14:12:25,0.000
01/24/2017,14:12:26,0.000
01/24/2017,14:12:27,0.000
01/24/2017,14:12:28,0.000
01/24/2017,14:12:29,0.000
01/24/2017,14:12:30,0.000
01/24/2017,14:12:31,0.000
01/24/2017,14:12:32,0.000
01/24/2017,14:12:33,0.000
01/24/2017,14:12:34,0.000
01/24/2017,14:12:35,0.000
01/24/2017,14:12:36,0.000
01/24/2017,14:12:37,0.000
01/24/2017,14:12:38,0.000
01/24/2017,14:12:39,0.000
01/24/2017,14:12:40,0.000
01/24/2017,14:12:41,0.000
01/24/2017,14:12:42,0.000
01/24/2017,14:12:43,0.000
01/24/2017,14:12:44,0.000
01/24/2017,14:12:45,0.000
01/24/2017,14:12:46,0.000
01/24/2017,14:12:47,0.000
01/24/2017,14:12:48,0.000
01/24/2017,14:12:49,0.000
01/24/2017,14:12:50,0.000
01/24/2017,14:12:51,0.000
01/24/2017,14:12:52,0.000
01/24/2017,14:12:53,0.000
01/24/2017,14:12:54,0.000
01/24/2017,14:12:55,0.000
01/24/2017,14:12:56,0.000
01/24/2017,14:12:57,0.000
01/24/2017,14:12:58,0.000
01/24/2017,14:12:59,0.000
01/24/2017,14:13:00,0.000
01/24/2017,14:13:01,0.000
01/24/2017,14:13:02,0.000
01/24/2017,14:13:03,0.000
01/24/2017,14:13:04,0.000
01/24/2017,14:13:05,0.000
01/24/2017,14:13:06,0.000
01/24/2017,14:13:07,0.000
01/24/2017,14:13:08,0.000
01/24/2017,14:13:09,0.000
01/24/2017,14:13:10,0.000
01/24/2017,14:13:11,0.000
01/24/2017,14:13:12,0.000
01/24/2017,14:13:13,0.000
01/24/2017,14:13:14,0.000
01/24/2017,14:13:15,0.000
01/24/2017,14:13:16,0.000
01/24/2017,14:13:17,0.000
01/24/2017,14:13:18,0.000
01/24/2017,14:13:19,0.000
01/24/2017,14:13:20,0.000
01/24/2017,14:13:21,0.000
01/24/2017,14:13:22,0.000
01/24/2017,14:13:23,0.000
01/24/2017,14:13:24,0.000
01/24/2017,14:13:25,0.000
01/24/2017,14:13:26,0.000
01/24/2017,14:13:27,0.000
01/24/2017,14:13:28,0.000
01/24/2017,14:13:29,0.000
01/24/2017,14:13:30,0.000
01/24/2017,14:13:31,0.000
01/24/2017,14:13:32,0.000
01/24/2017,14:13:33,0.000
01/24/2017,14:13:34,0.000
01/24/2017,14:13:35,0.000
01/24/2017,14:13:36,0.000
01/24/2017,14:13:37,0.000
01/24/2017,14:13:38,0.000
01/24/2017,14:13:39,0.000
01/24/2017,14:13:40,0.000
01/24/2017,14:13:41,0.000
01/24/2017,14:13:42,0.000
01/24/2017,14:13:43,0.000
01/24/2017,14:13:44,0.000
01/24/2017,14:13:45,0.000
01/24/2017,14:13:46,0.000
01/24/2017,14:13:47,0.000
01/24/2017,14:13:48,0.000
01/24/2017,14:13:49,0.000
01/24/2017,14:13:50,0.000
01/24/2017,14:13:51,0.000
01/24/2017,14:13:52,0.000
01/24/2017,14:13:53,0.000
01/24/2017,14:13:54,0.000
01/24/2017,14:13:55,0.000
01/24/2017,14:13:56,0.000
01/24/2017,14:13:57,0.000
01/24/2017,14:13:58,0.000
01/24/2017,14:13:59,0.000
01/24/2017,14:14:00,0.000
01/24/2017,14:14:01,0.000
01/24/2017,14:14:02,0.000
01/24/2017,14:14:03,0.000
01/24/2017,14:14:04,0.000
01/24/2017,14:14:05,0.000
01/24/2017,14:14:06,0.000
01/24/2017,14:14:07,0.000
01/24/2017,14:14:08,0.000
01/24/2017,14:14:09,0.000
01/24/2017,14:14:10,0.000
01/24/2017,14:14:11,0.000
01/24/2017,14:14:12,0.000
01/24/2017,14:14:13,0.000
01/24/2017,14:14:14,0.000
01/24/2017,14:14:15,0.000
01/24/2017,14:14:16,0.000
01/24/2017,14:14:17,0.000
01/24/2017,14:14:18,0.000
01/24/2017,14:14:19,0.000
01/24/2017,14:14:20,0.000
01/24/2017,14:14:21,0.000
01/24/2017,14:14:22,0.000
01/24/2017,14:14:23,0.000
01/24/2017,14:14:24,0.000
01/24/2017,14:14:25,0.000
01/24/2017,14:14:26,0.000
01/24/2017,14:14:27,0.000
01/24/2017,14:14:28,0.000
01/24/2017,14:14:29,0.000
01/24/2017,14:14:30,0.000
01/24/2017,14:14:31,0.000
01/24/2017,14:14:32,0.000
01/24/2017,14:14:33,0.000
01/24/2017,14:14:34,0.000
01/24/2017,14:14:35,0.000
01/24/2017,14:14:36,0.000
01/24/2017,14:14:37,0.000
01/24/2017,14:14:38,0.000
01/24/2017,14:14:39,0.000
01/24/2017,14:14:40,0.000
01/24/2017,14:14:41,0.000
01/24/2017,14:14:42,0.000
01/24/2017,14:14:43,0.000
01/24/2017,14:14:44,0.000
01/24/2017,14:14:45,0.000
01/24/2017,14:14:46,0.000
01/24/2017,14:14:47,0.000
01/24/2017,14:14:48,0.000
01/24/2017,14:14:49,0.000
01/24/2017,14:14:50,0.000
01/24/2017,14:14:51,0.000
01/24/2017,14:14:52,0.000
01/24/2017,14:14:53,0.000
01/24/2017,14:14:54,0.000
01/24/2017,14:14:55,0.000
01/24/2017,14:14:56,0.000
01/24/2017,14:14:57,0.000
01/24/2017,14:14:58,0.000
01/24/2017,14:14:59,0.000
01/24/2017,14:15:00,0.000
01/24/2017,14:15:01,0.000
01/24/2017,14:15:02,0.003
01/24/2017,14:15:03,0.005
01/24/2017,14:15:04,0.004
01/24/2017,14:15:05,0.005
01/24/2017,14:15:06,0.004
01/24/2017,14:15:07,0.004
01/24/2017,14:15:08,0.004
01/24/2017,14:15:09,0.005
01/24/2017,14:15:10,0.005
01/24/2017,14:15:11,0.004
01/24/2017,14:15:12,0.007
01/24/2017,14:15:13,0.008
01/24/2017,14:15:14,0.005
01/24/2017,14:15:15,0.004
01/24/2017,14:15:16,0.004
01/24/2017,14:15:17,0.004
01/24/2017,14:15:18,0.004
01/24/2017,14:15:19,0.005
01/24/2017,14:15:20,0.005
01/24/2017,14:15:21,0.006
01/24/2017,14:15:22,0.005
01/24/2017,14:15:23,0.006
01/24/2017,14:15:24,0.010
01/24/2017,14:15:25,0.005
01/24/2017,14:15:26,0.005
01/24/2017,14:15:27,0.005
01/24/2017,14:15:28,0.005
01/24/2017,14:15:29,0.004
01/24/2017,14:15:30,0.004
01/24/2017,14:15:31,0.004
01/24/2017,14:15:32,0.005
01/24/2017,14:15:33,0.004
01/24/2017,14:15:34,0.004
01/24/2017,14:15:35,0.004
01/24/2017,14:15:36,0.004
01/24/2017,14:15:37,0.004
01/24/2017,14:15:38,0.004
01/24/2017,14:15:39,0.003
01/24/2017,14:15:40,0.004
01/24/2017,14:15:41,0.005
01/24/2017,14:15:42,0.005
01/24/2017,14:15:43,0.006
01/24/2017,14:15:44,0.005
01/24/2017,14:15:45,0.004
01/24/2017,14:15:46,0.005
01/24/2017,14:15:47,0.006
01/24/2017,14:15:48,0.006
01/24/2017,14:15:49,0.004
01/24/2017,14:15:50,0.004
01/24/2017,14:15:51,0.004
01/24/2017,14:15:52,0.004
01/24/2017,14:15:53,0.004
01/24/2017,14:15:54,0.004
01/24/2017,14:15:55,0.004
01/24/2017,14:15:56,0.004
01/24/2017,14:15:57,0.005
01/24/2017,14:15:58,0.005
01/24/2017,14:15:59,0.004
01/24/2017,14:16:00,0.003
01/24/2017,14:16:01,0.004
01/24/2017,14:16:02,0.004
01/24/2017,14:16:03,0.004
01/24/2017,14:16:04,0.005
01/24/2017,14:16:05,0.005
01/24/2017,14:16:06,0.004
01/24/2017,14:16:07,0.004
01/24/2017,14:16:08,0.005
01/24/2017,14:16:09,0.004
01/24/2017,14:16:10,0.004
01/24/2017,14:16:11,0.004
01/24/2017,14:16:12,0.004
01/24/2017,14:16:13,0.004
01/24/2017,14:16:14,0.004
01/24/2017,14:16:15,0.005
01/24/2017,14:16:16,0.005
01/24/2017,14:16:17,0.003
01/24/2017,14:16:18,0.004
01/24/2017,14:16:19,0.004
01/24/2017,14:16:20,0.004
01/24/2017,14:16:21,0.004
01/24/2017,14:16:22,0.004
01/24/2017,14:16:23,0.005
01/24/2017,14:16:24,0.004
01/24/2017,14:16:25,0.004
01/24/2017,14:16:26,0.004
01/24/2017,14:16:27,0.006
01/24/2017,14:16:28,0.004
01/24/2017,14:16:29,0.004
01/24/2017,14:16:30,0.003
01/24/2017,14:16:31,0.003
01/24/2017,14:16:32,0.003
01/24/2017,14:16:33,0.004
01/24/2017,14:16:34,0.004
01/24/2017,14:16:35,0.003
01/24/2017,14:16:36,0.004
01/24/2017,14:16:37,0.004
01/24/2017,14:16:38,0.003
01/24/2017,14:16:39,0.003
01/24/2017,14:16:40,0.004
01/24/2017,14:16:41,0.005
01/24/2017,14:16:42,0.003
01/24/2017,14:16:43,0.004
01/24/2017,14:16:44,0.004
01/24/2017,14:16:45,0.004
01/24/2017,14:16:46,0.004
01/24/2017,14:16:47,0.004
01/24/2017,14:16:48,0.004
01/24/2017,14:16:49,0.003
01/24/2017,14:16:50,0.004
01/24/2017,14:16:51,0.004
01/24/2017,14:16:52,0.004
01/24/2017,14:16:53,0.004
01/24/2017,14:16:54,0.004
01/24/2017,14:16:55,0.003
01/24/2017,14:16:56,0.004
01/24/2017,14:16:57,0.005
01/24/2017,14:16:58,0.004
01/24/2017,14:16:59,0.004
01/24/2017,14:17:00,0.006
01/24/2017,14:17:01,0.006
01/24/2017,14:17:02,0.003
01/24/2017,14:17:03,0.004
01/24/2017,14:17:04,0.004
01/24/2017,14:17:05,0.004
01/24/2017,14:17:06,0.004
01/24/2017,14:17:07,0.004
01/24/2017,14:17:08,0.005
01/24/2017,14:17:09,0.004
01/24/2017,14:17:10,0.004
01/24/2017,14:17:11,0.003
01/24/2017,14:17:12,0.004
01/24/2017,14:17:13,0.004
01/24/2017,14:17:14,0.004
01/24/2017,14:17:15,0.004
01/24/2017,14:17:16,0.004
01/24/2017,14:17:17,0.005
01/24/2017,14:17:18,0.005
01/24/2017,14:17:19,0.004
01/24/2017,14:17:20,0.003
01/24/2017,14:17:21,0.004
01/24/2017,14:17:22,0.005
01/24/2017,14:17:23,0.005
01/24/2017,14:17:24,0.004
01/24/2017,14:17:25,0.004
01/24/2017,14:17:26,0.004
01/24/2017,14:17:27,0.004
01/24/2017,14:17:28,0.003
01/24/2017,14:17:29,0.004
01/24/2017,14:17:30,0.005
01/24/2017,14:17:31,0.004
01/24/2017,14:17:32,0.003
01/24/2017,14:17:33,0.004
01/24/2017,14:17:34,0.004
01/24/2017,14:17:35,0.004
01/24/2017,14:17:36,0.004
01/24/2017,14:17:37,0.004
01/24/2017,14:17:38,0.004
01/24/2017,14:17:39,0.004
01/24/2017,14:17:40,0.004
01/24/2017,14:17:41,0.004
01/24/2017,14:17:42,0.003
01/24/2017,14:17:43,0.004
01/24/2017,14:17:44,0.004
