"device","datetime","led","bits","tempC","rh","sys_tempC","sample_rate","volts","sd_roll6","mean_roll6","sd_diff","volts_loess","volts_smoothed","mg_m3"
"alpha",2017-02-02 09:41:41,"ir",565,20,56,40.8,0.1,0.466308,0.00116904519445001,0.457166666666667,0,0.466557640420744,0.466557640420744,0.00355923053378859
"alpha",2017-02-02 09:41:51,"ir",565,20,55.9,41.9,0.1,0.466308,0.00136626010212795,0.456666666666667,0,0.466577218244171,0.466577218244171,0.00450532495732858
"alpha",2017-02-02 09:42:01,"ir",565,20,55.9,41.9,0.1,0.466308,0.00132916013582513,0.456166666666667,0,0.466599061928471,0.466599061928471,0.00556091665693259
"alpha",2017-02-02 09:42:11,"ir",565,20,55.9,42.4,0.1,0.466308,0.00132916013582513,0.455833333333333,0,0.466623845274522,0.466623845274522,0.00675856692605947
"alpha",2017-02-02 09:42:21,"ir",564,20,55.8,42.9,0.1,0.466308,0.00122474487139159,0.4555,0,0.466653626436571,0.466653626436571,0.00819773565931925
"alpha",2017-02-02 09:43:11,"ir",566,20.1,55.7,45.1,0.1,0.46736454,0,0.455,-Inf,0.46726135452823,0.46726135452823,0.0375660748263584
"alpha",2017-02-02 09:43:21,"ir",567,20.1,55.7,41.9,0.1,0.46836454,0.000408248290463863,0.455166666666667,-2.44948974278318,0.467440737608087,0.467440737608087,0.0462347264855154
"alpha",2017-02-02 09:43:31,"ir",564,20.1,55.6,40.8,0.1,0.46636454,0.000836660026534076,0.4555,2.39045721866879,0.467533671509329,0.467533671509329,0.0507257387807165
"alpha",2017-02-02 09:43:51,"ir",565,20.1,55.6,43.5,0.1,0.46636454,0.000836660026534076,0.4555,0,0.467604594668146,0.467604594668146,0.0541530863256412
"alpha",2017-02-02 09:44:01,"ir",567,20.1,55.6,41.3,0.1,0.46836454,0.000836660026534076,0.4555,-2.39045721866879,0.467626104947894,0.467626104947894,0.0551925663165989
"alpha",2017-02-02 09:44:11,"ir",568,20.1,55.6,40.8,0.1,0.46936454,0.000983192080250176,0.455833333333333,-1.01709525543122,0.467698345007747,0.467698345007747,0.0586835528422327
"alpha",2017-02-02 09:44:21,"ir",566,20.1,55.7,40.8,0.1,0.46736454,0.001211060141639,0.456333333333333,1.65144564768954,0.467867786303601,0.467867786303601,0.0668717697666139
"alpha",2017-02-02 09:44:31,"ir",565,20.1,55.6,39.7,0.1,0.46636454,0.001211060141639,0.456333333333333,0.82572282384477,0.467954457667402,0.467954457667402,0.0710601461854523
"alpha",2017-02-02 09:44:41,"ir",567,20.1,55.6,40.8,0.1,0.46836454,0.00126491106406735,0.456,-1.58113883008419,0.467962526233333,0.467962526233333,0.0714500580293986
