"device","led","datetime","bits","tempC","rh","sys_tempC"
"alpha","ir",2017-02-02 09:40:41,568,20.1,55.8,34.9
"alpha","ir",2017-02-02 09:40:51,568,20,56.1,34.3
"alpha","ir",2017-02-02 09:41:01,567,20,56.2,34.3
"alpha","ir",2017-02-02 09:41:11,567,20,56,34.9
"alpha","ir",2017-02-02 09:41:21,568,20,56,35.4
"alpha","ir",2017-02-02 09:41:31,564,20,56,38.6
"alpha","ir",2017-02-02 09:41:41,565,20,56,40.8
"alpha","ir",2017-02-02 09:41:51,565,20,55.9,41.9
"alpha","ir",2017-02-02 09:42:01,565,20,55.9,41.9
"alpha","ir",2017-02-02 09:42:11,565,20,55.9,42.4
"alpha","ir",2017-02-02 09:42:21,564,20,55.8,42.9
"alpha","ir",2017-02-02 09:42:31,564,20.1,55.9,42.9
"alpha","ir",2017-02-02 09:42:41,564,20.1,55.9,44
"alpha","ir",2017-02-02 09:42:51,565,20.1,55.8,44
"alpha","ir",2017-02-02 09:43:01,565,20.1,55.8,45.1
"alpha","ir",2017-02-02 09:43:11,566,20.1,55.7,45.1
"alpha","blue",2017-02-02 09:43:11,456,20.1,55.7,45.1
"alpha","ir",2017-02-02 09:43:21,567,20.1,55.7,41.9
"alpha","ir",2017-02-02 09:43:31,564,20.1,55.6,40.8
"alpha","ir",2017-02-02 09:43:51,565,20.1,55.6,43.5
"alpha","ir",2017-02-02 09:44:01,567,20.1,55.6,41.3
"alpha","ir",2017-02-02 09:44:11,568,20.1,55.6,40.8
"alpha","ir",2017-02-02 09:44:21,566,20.1,55.7,40.8
"alpha","ir",2017-02-02 09:44:31,565,20.1,55.6,39.7
"alpha","ir",2017-02-02 09:44:41,567,20.1,55.6,40.8
"alpha","ir",2017-02-02 09:44:51,567,20.1,55.6,40.8
"alpha","ir",2017-02-02 09:45:01,568,20.1,55.6,40.8
"alpha","ir",2017-02-02 09:45:11,564,20.1,55.6,40.8
"alpha","ir",2017-02-02 09:45:21,567,20.1,55.6,41.9
"alpha","ir",2017-02-02 09:45:31,567,20.1,55.6,41.3
"alpha","ir",2017-02-02 09:45:41,567,20.2,55.6,41.3
"alpha","ir",2017-02-02 09:45:51,565,20.1,55.6,41.9
"alpha","ir",2017-02-02 09:46:01,565,20.2,55.6,41.3
"alpha","ir",2017-02-02 09:46:11,566,20.2,55.6,40.8
"alpha","ir",2017-02-02 09:46:21,564,20.2,55.6,45.1
"alpha","ir",2017-02-02 09:46:31,564,20.2,55.6,47.8
"alpha","ir",2017-02-02 09:46:41,564,20.2,55.6,47.8
"alpha","blue",2017-02-02 09:46:41,455,20.2,55.6,47.8
"alpha","ir",2017-02-02 09:46:51,567,20.2,55.6,44.5
"alpha","ir",2017-02-02 09:47:01,568,20.2,55.6,44
"alpha","ir",2017-02-02 09:47:11,567,20.2,55.5,43.5
"alpha","ir",2017-02-02 09:47:21,564,20.2,55.4,43.5
"alpha","ir",2017-02-02 09:47:31,564,20.2,55.5,42.9
"alpha","ir",2017-02-02 09:47:41,569,20.3,55.5,42.9
"alpha","ir",2017-02-02 09:47:51,567,20.3,55.5,42.9
"alpha","ir",2017-02-02 09:48:01,564,20.3,55.6,43.5
"alpha","ir",2017-02-02 09:48:11,564,20.3,55.7,42.9
"alpha","ir",2017-02-02 09:48:21,567,20.3,55.6,42.9
"alpha","ir",2017-02-02 09:48:31,567,20.3,55.6,42.9
"alpha","ir",2017-02-02 09:48:41,568,20.3,55.5,43.5
"alpha","ir",2017-02-02 09:48:51,564,20.3,55.5,43.5
"alpha","ir",2017-02-02 09:49:01,563,20.3,55.4,42.9
"alpha","ir",2017-02-02 09:49:11,566,20.3,55.4,42.9
"alpha","ir",2017-02-02 09:49:21,567,20.3,55.4,43.5
"alpha","ir",2017-02-02 09:49:31,568,20.3,55.3,43.5
"alpha","ir",2017-02-02 09:49:41,563,20.3,55.3,42.9
"alpha","ir",2017-02-02 09:49:51,564,20.3,55.3,46.2
"alpha","ir",2017-02-02 09:50:01,565,20.3,55.4,47.8
"alpha","blue",2017-02-02 09:50:01,456,20.3,55.4,47.8
"alpha","ir",2017-02-02 09:50:11,564,20.3,55.4,45.1
"alpha","ir",2017-02-02 09:50:21,564,20.3,55.4,44
"alpha","ir",2017-02-02 09:50:31,564,20.3,55.4,43.5
"alpha","ir",2017-02-02 09:50:41,567,20.3,55.4,43.5
